//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ";"
;Source;;Source for time synchronization (1/2 - NTP/GPS);%IB148;Time synchronization
;Time new;;Time for synchronization;%ID38;Time synchronization
;Time old;;Time before synchronization;%ID39;Time synchronization
;tx;;Count sended packets;%ID42;IO Modules
;rx;;Count received packets;%ID43;IO Modules
;rx_timeout;;Count not received packets;%ID44;IO Modules
;rx_error;;Count received packets with error;%ID45;IO Modules
;trans_error;;Received packets with unknown transaction number;%ID46;IO Modules
;DI;;DI, groups 1,2,3,4;%IB188;A11
;Group1;;DI group 1;%IB188;A11
Application.sys_di[0].di;DI1;;Кран № 388.7 открыт;%IX188.0;A11
Application.sys_di[1].di;DI2;;Кран № 388.7 закрыт;%IX188.1;A11
Application.sys_di[2].di;DI3;;Контроль цепей Крана № 388.7 соленоид открытия;%IX188.2;A11
Application.sys_di[3].di;DI4;;Контроль цепей Крана № 388.7 соленоид закрытия;%IX188.3;A11
Application.sys_di[4].di;DI5;;Кран № 2 открыт (Резерв);%IX188.4;A11
Application.sys_di[5].di;DI6;;Кран № 2 закрыт (Резерв);%IX188.5;A11
Application.sys_di[6].di;DI7;;Контроль цепей крана 2 соленоид открытия (Резерв);%IX188.6;A11
Application.sys_di[7].di;DI8;;Контроль цепей крана 2 соленоид закрытия (Резерв);%IX188.7;A11
;Group2;;DI group 2;%IB189;A11
Application.sys_di[8].di;DI9;;Шкаф КП ТМ открыт (инверсный);%IX189.0;A11
Application.sys_di[9].di;DI10;;ТС Блок питания кранов (=24В/24В) в норме;%IX189.1;A11
Application.sys_di[10].di;DI11;;Контроль изоляции цепей питания кранов (инверсный);%IX189.2;A11
Application.sys_di[11].di;DI12;;Контроль изоляции цепей питания внутри шкафа (инверсный);%IX189.3;A11
Application.sys_di[12].di;DI13;;Подготовка ТУ;%IX189.4;A11
Application.sys_di[13].di;DI14;;Режим управления дистанционный;%IX189.5;A11
Application.sys_di[14].di;DI15;;Режим проверки ламп;%IX189.6;A11
Application.sys_di[15].di;DI16;;Резерв;%IX189.7;A11
;Group3;;DI group 3;%IB190;A11
Application.sys_di[16].di;DI17;;ИБП. Шкаф открыт (инверсный);%IX190.0;A11
Application.sys_di[17].di;DI18;;ИБП. Работает система микроклимата (инверсный);%IX190.1;A11
Application.sys_di[18].di;DI19;;ИБП. Сработал автоматический выключатель;%IX190.2;A11
Application.sys_di[19].di;DI20;;ИБП. Наличие сетевого напряжения 220В;%IX190.3;A11
Application.sys_di[20].di;DI21;;ИБП. Напряжение на АКБ ниже 20,5В;%IX190.4;A11
Application.sys_di[21].di;DI22;;ИБП. Работает от АКБ;%IX190.5;A11
Application.sys_di[22].di;DI23;;Резерв;%IX190.6;A11
Application.sys_di[23].di;DI24;;ИБП. Защита по входу 220В исправна (резерв);%IX190.7;A11
;Group4;;DI group 4;%IB191;A11
Application.sys_di[24].di;DI25;;БКЭС. Активная энергия на вводе 0,4 кВ;%IX191.0;A11
Application.sys_di[25].di;DI26;;БКЭС. Тревога в блок-боксе БКЭС;%IX191.1;A11
Application.sys_di[26].di;DI27;;БКЭС. Наличие напряжения на вводе 0,4 кВ;%IX191.2;A11
Application.sys_di[27].di;DI28;;БКЭС. Включен QF1;%IX191.3;A11
Application.sys_di[28].di;DI29;;БКЭС. Неисправность  АУПС;%IX191.4;A11
Application.sys_di[29].di;DI30;;БКЭС. Пожар в блок-боксе БКЭС;%IX191.5;A11
Application.sys_di[30].di;DI31;;БКЭС. Выключатель нагрузки QS1 включен;%IX191.6;A11
Application.sys_di[31].di;DI32;;БКЭС. Заземляющий нож выключатель нагрузки QS1 включен;%IX191.7;A11
;counters;;Counters data;%ID48;A11
;counters[1];;Counters data;%ID48;A11
;counters[2];;Counters data;%ID49;A11
;counters[3];;Counters data;%ID50;A11
;counters[4];;Counters data;%ID51;A11
;counters[5];;Counters data;%ID52;A11
;counters[6];;Counters data;%ID53;A11
;counters[7];;Counters data;%ID54;A11
;counters[8];;Counters data;%ID55;A11
;counters[9];;Counters data;%ID56;A11
;counters[10];;Counters data;%ID57;A11
;counters[11];;Counters data;%ID58;A11
;counters[12];;Counters data;%ID59;A11
;counters[13];;Counters data;%ID60;A11
;counters[14];;Counters data;%ID61;A11
;counters[15];;Counters data;%ID62;A11
;counters[16];;Counters data;%ID63;A11
;counters[17];;Counters data;%ID64;A11
;counters[18];;Counters data;%ID65;A11
;counters[19];;Counters data;%ID66;A11
;counters[20];;Counters data;%ID67;A11
;counters[21];;Counters data;%ID68;A11
;counters[22];;Counters data;%ID69;A11
;counters[23];;Counters data;%ID70;A11
;counters[24];;Counters data;%ID71;A11
;counters[25];;Counters data;%ID72;A11
;counters[26];;Counters data;%ID73;A11
;counters[27];;Counters data;%ID74;A11
;counters[28];;Counters data;%ID75;A11
;counters[29];;Counters data;%ID76;A11
;counters[30];;Counters data;%ID77;A11
;counters[31];;Counters data;%ID78;A11
;counters[32];;Counters data;%ID79;A11
Application.sys_mod[1].ok;online;;Online status;%IX320.0;A11
;tx;;Count sended packets;%ID81;A11
;rx;;Count received packets;%ID82;A11
;rx_timeout;;Count not received packets;%ID83;A11
;rx_error;;Count received packets with error;%ID84;A11
;trans_error;;Received packets with unknown transaction number;%ID85;A11
;type;;Module type;%ID86;A11
;Service;;Service info;%ID87;A11
;Diagnostic;;;%IW174;A11
;Lights;;Indication LED's init error;%IX348.0;A11
;Database;;Internal parameters database init error;%IX348.1;A11
;USART;;USART interface init error;%IX348.2;A11
;Flash;;External flash memory chip init error;%IX348.3;A11
;USB;;USB interface init error;%IX348.4;A11
;Bus address;;Module bus address init error;%IX348.5;A11
;Reserved;;;%IX348.6;A11
;Reserved@1;;;%IX348.7;A11
;Reserved@2;;;%IX349.0;A11
;Reserved@3;;;%IX349.1;A11
;Reserved@4;;;%IX349.2;A11
;Reserved@5;;;%IX349.3;A11
;Reserved@6;;;%IX349.4;A11
;Reserved@7;;;%IX349.5;A11
;Reserved@8;;;%IX349.6;A11
;Reserved@9;;;%IX349.7;A11
;Module  specific;;;%IB350;A11
;DI group1 error;;DI group1 driver hardware error;%IX350.0;A11
;DI group2 error;;DI group2 driver hardware error;%IX350.1;A11
;DI group3 error;;DI group3 driver hardware error;%IX350.2;A11
;DI group4 error;;DI group4 driver hardware error;%IX350.3;A11
;Reserved@10;;;%IX350.4;A11
;Reserved@11;;;%IX350.5;A11
;Reserved@12;;;%IX350.6;A11
;Reserved@13;;;%IX350.7;A11
;Unique id;;;%IB351;A11
;Unique id[id];;;%IB351;A11
;Unique id[id]@1;;;%IB352;A11
;Unique id[id]@2;;;%IB353;A11
;Unique id[id]@3;;;%IB354;A11
;Unique id[id]@4;;;%IB355;A11
;Unique id[id]@5;;;%IB356;A11
;Unique id[id]@6;;;%IB357;A11
;Unique id[id]@7;;;%IB358;A11
;Unique id[id]@8;;;%IB359;A11
;Unique id[id]@9;;;%IB360;A11
;Unique id[id]@10;;;%IB361;A11
;Unique id[id]@11;;;%IB362;A11
;VNAR;;;%IB363;A11
;VNAR[VNAR];;;%IB363;A11
;VNAR[VNAR]@1;;;%IB364;A11
;VNAR[VNAR]@2;;;%IB365;A11
;VNAR[VNAR]@3;;;%IB366;A11
;VNAR[VNAR]@4;;;%IB367;A11
;VNAR[VNAR]@5;;;%IB368;A11
;VNAR[VNAR]@6;;;%IB369;A11
;VNAR[VNAR]@7;;;%IB370;A11
;VNAR[VNAR]@8;;;%IB371;A11
;VNAR[VNAR]@9;;;%IB372;A11
;VNAR[VNAR]@10;;;%IB373;A11
;VNAR[VNAR]@11;;;%IB374;A11
;VNAR[VNAR]@12;;;%IB375;A11
